,model,prompting_technique,accuracy,precision,recall,f1
0,gemma,cot,0.16071428571428573,0.3106926183935113,0.16071428571428573,0.1497224159939677
1,mistral,cot,0.13765182186234817,0.26425185581532334,0.13765182186234817,0.11104520272361858
2,openchat,cot,0.22869955156950672,0.3593611321414012,0.22869955156950672,0.19615422532858565
3,gemma,cot-sc,0.15625,0.26275240612439305,0.15625,0.14268947201420695
4,mistral,cot-sc,0.1894273127753304,0.33233693417457694,0.1894273127753304,0.1623884362510058
5,openchat,cot-sc,0.21973094170403587,0.41410272506361634,0.21973094170403587,0.20670114997309164
6,gemma,rar-1,0.24793388429752067,0.33873273707614554,0.24793388429752067,0.23264713238967855
7,mistral,rar-1,0.24782608695652175,0.23353637717482112,0.24782608695652175,0.1920126364116134
8,openchat,rar-1,0.24242424242424243,0.259967313410642,0.24242424242424243,0.21073237897328168
9,gemma,rar-2,0.2134387351778656,0.2754415314226986,0.2134387351778656,0.19851180885164169
10,mistral,rar-2,0.2109704641350211,0.19814385302827792,0.2109704641350211,0.16637154580711697
11,openchat,rar-2,0.2608695652173913,0.3345015015495565,0.2608695652173913,0.23174590503140513
12,gemma,tot,0.15625,0.2126513194723328,0.15625,0.140907211385715
13,mistral,tot,0.2317596566523605,0.38670511963074977,0.2317596566523605,0.23246416275936302
14,openchat,tot,0.24444444444444444,0.32726503126503126,0.24444444444444444,0.24129543625479868
