,model,prompting_technique,accuracy,precision,recall,f1
0,gemma,cot,0.16149068322981366,0.6147956133427783,0.16149068322981366,0.20940942257392117
1,mistral,cot,0.31622641509433963,0.5448619703593676,0.31622641509433963,0.3710776409699807
2,openchat,cot,0.5021231422505308,0.5974472048430977,0.5021231422505308,0.5291295058175834
3,gemma,cot-sc,0.21382978723404256,0.6415964581219191,0.21382978723404256,0.2875116807571837
4,mistral,cot-sc,0.39397089397089397,0.5661931913114828,0.39397089397089397,0.4516829333138174
5,openchat,cot-sc,0.5372340425531915,0.6428715066281225,0.5372340425531915,0.5620903140514296
6,gemma,rar-mafalda,0.17269076305220885,0.5458116556504821,0.17269076305220885,0.14469166449012805
7,mistral,rar-mafalda,0.1968503937007874,0.7289347762209932,0.1968503937007874,0.10861807537928451
8,openchat,rar-mafalda,0.1567043618739903,0.5584666173287749,0.1567043618739903,0.16089240960363002
9,gemma,tot,0.21914893617021278,0.5614677082638312,0.21914893617021278,0.2179188374405571
10,mistral,tot,0.29469548133595286,0.5293199709235213,0.29469548133595286,0.3371056134732308
11,openchat,tot,0.5361702127659574,0.5857687564979559,0.5361702127659574,0.5447664161970129
